@timestamp,data.win.system.eventID,agent.name,data.win.eventdata.authenticationPackageName,data.win.system.processID,data.win.system.systemTime,data.win.eventdata.logonType,data.win.eventdata.logonProcessName,data.win.eventdata.targetUserName
2025-04-20 14:32:31.912,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:32:31.6390077Z,5,Advapi,SYSTEM
2025-04-20 14:32:31.910,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:32:31.5767074Z,5,Advapi,SYSTEM
2025-04-20 14:32:12.405,4624,LAB3-09,Negotiate,1072,2025-04-20T09:33:28.2895911Z,5,Advapi,SYSTEM
2025-04-20 14:31:16.462,4624,LAB3-09,Kerberos,1072,2025-04-20T09:32:32.7704500Z,3,Kerberos,LAB3-09$
2025-04-20 14:31:16.448,4624,LAB3-09,Kerberos,1072,2025-04-20T09:32:32.3327727Z,3,Kerberos,LAB3-09$
2025-04-20 14:30:42.199,4624,LAB3-11,Negotiate,892,2025-04-20T09:31:58.3931583Z,5,Advapi,SYSTEM
2025-04-20 14:30:42.198,4624,LAB3-11,Negotiate,892,2025-04-20T09:31:57.5836928Z,5,Advapi,SYSTEM
2025-04-20 14:30:26.080,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:30:25.7492327Z,5,Advapi,SYSTEM
2025-04-20 14:29:39.807,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:29:39.4785595Z,5,Advapi,SYSTEM
2025-04-20 14:29:38.802,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:29:38.4691304Z,5,Advapi,SYSTEM
2025-04-20 14:29:32.412,4624,LAB3-09,Negotiate,1072,2025-04-20T09:30:48.2858964Z,5,Advapi,SYSTEM
2025-04-20 14:28:47.083,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:28:46.7469184Z,5,Advapi,SYSTEM
2025-04-20 14:28:46.231,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:28:41.1437902Z,5,Advapi,SYSTEM
2025-04-20 14:27:18.576,4624,LAB3-09,Negotiate,1072,2025-04-20T09:28:34.4699974Z,5,Advapi,SYSTEM
2025-04-20 14:26:16.196,4624,LAB3-09,Negotiate,1072,2025-04-20T09:27:32.7784195Z,5,Advapi,SYSTEM
2025-04-20 14:26:16.195,4624,LAB3-09,Negotiate,1072,2025-04-20T09:27:32.0840112Z,5,Advapi,SYSTEM
2025-04-20 14:26:12.264,4624,LAB3-09,Negotiate,1072,2025-04-20T09:27:28.1618115Z,5,Advapi,SYSTEM
2025-04-20 14:23:32.186,4624,LAB3-09,Negotiate,1072,2025-04-20T09:24:48.0902286Z,5,Advapi,SYSTEM
2025-04-20 14:22:06.208,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:22:05.8833982Z,5,Advapi,SYSTEM
2025-04-20 14:22:04.353,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:22:04.0405767Z,5,Advapi,SYSTEM
2025-04-20 14:22:04.351,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:22:04.0206553Z,5,Advapi,SYSTEM
2025-04-20 14:21:12.604,4624,LAB3-11,Negotiate,892,2025-04-20T09:22:27.9918812Z,5,Advapi,SYSTEM
2025-04-20 14:20:52.118,4624,LAB3-09,Negotiate,1072,2025-04-20T09:22:08.0046718Z,5,Advapi,SYSTEM
2025-04-20 14:20:37.013,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:20:37.5888128Z,5,Advapi,SYSTEM
2025-04-20 14:20:37.011,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:20:36.6822105Z,5,Advapi,SYSTEM
2025-04-20 14:20:37.010,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:20:36.6729166Z,5,Advapi,SYSTEM
2025-04-20 14:18:12.122,4624,LAB3-09,Negotiate,1072,2025-04-20T09:19:28.0318490Z,5,Advapi,SYSTEM
2025-04-20 14:17:32.109,4624,LAB3-10,Negotiate,1032,2025-04-20T09:18:47.9870158Z,5,Advapi,SYSTEM
2025-04-20 14:15:32.042,4624,LAB3-09,Negotiate,1072,2025-04-20T09:16:47.9456503Z,5,Advapi,SYSTEM
2025-04-20 14:13:32.007,4624,LAB3-09,Negotiate,1072,2025-04-20T09:14:47.9017974Z,5,Advapi,SYSTEM
2025-04-20 14:11:32.053,4624,LAB3-09,Negotiate,1072,2025-04-20T09:12:47.9610483Z,5,Advapi,SYSTEM
2025-04-20 14:10:23.788,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:10:21.9955374Z,5,Advapi,SYSTEM
2025-04-20 14:09:43.277,4624,LAB3-11,Negotiate,892,2025-04-20T09:10:58.3285481Z,5,Advapi,SYSTEM
2025-04-20 14:09:31.992,4624,LAB3-09,Negotiate,1072,2025-04-20T09:10:47.9071329Z,5,Advapi,SYSTEM
2025-04-20 14:04:13.439,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:04:13.1251098Z,5,Advapi,SYSTEM
2025-04-20 14:03:31.885,4624,LAB3-09,Negotiate,1072,2025-04-20T09:04:47.8410029Z,5,Advapi,SYSTEM
2025-04-20 14:03:01.197,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:03:00.8764481Z,5,Advapi,SYSTEM
2025-04-20 14:02:54.895,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:02:54.5744476Z,5,Advapi,SYSTEM
2025-04-20 14:01:58.543,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:01:58.3546829Z,5,Advapi,SYSTEM
2025-04-20 14:01:58.537,4624,DESKTOP-5JEIKFF,Negotiate,1016,2025-04-20T09:01:58.2222818Z,5,Advapi,SYSTEM
2025-04-20 14:01:52.877,4624,LAB3-11,Negotiate,892,2025-04-20T09:03:08.1321654Z,5,Advapi,SYSTEM
2025-04-20 14:00:51.824,4624,LAB3-09,Negotiate,1072,2025-04-20T09:02:07.7770835Z,5,Advapi,SYSTEM
2025-04-20 14:00:26.329,4624,LAB3-10,Kerberos,1032,2025-04-20T09:01:42.6560765Z,3,Kerberos,LAB3-10$
2025-04-20 14:00:26.320,4624,LAB3-10,Kerberos,1032,2025-04-20T09:01:42.2427971Z,3,Kerberos,LAB3-10$
2025-04-20 13:59:49.741,4624,LAB3-09,Negotiate,1072,2025-04-20T09:01:05.6957418Z,5,Advapi,SYSTEM
2025-04-20 13:59:49.738,4624,LAB3-09,Negotiate,1072,2025-04-20T09:01:05.6938471Z,5,Advapi,SYSTEM
2025-04-20 13:58:16.486,4624,LAB3-09,Negotiate,1072,2025-04-20T08:59:32.4511973Z,5,Advapi,SYSTEM
