"@timestamp","data.win.system.eventID","agent.name","data.win.eventdata.authenticationPackageName","data.win.system.processID","data.win.system.systemTime","data.win.eventdata.logonType","data.win.eventdata.logonProcessName","data.win.eventdata.targetUserName"
"Apr 17, 2025 @ 19:36:42.280",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:35:48.3814504Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.263",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:30:49.4561434Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.248",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:27:59.9508019Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.244",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:38:03.6476003Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.241",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:25:22.1585193Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.225",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:23:03.9876722Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.188",4624,"LAB3-11",Kerberos,1032,"2025-04-17T14:21:44.3183070Z",3,Kerberos,"LAB3-11$"
"Apr 17, 2025 @ 19:36:42.181",4625,"LAB3-18",Negotiate,928,"2025-04-16T15:37:56.4556154Z",2,User32,"bsit22f.0005"
"Apr 17, 2025 @ 19:36:42.172",4624,"LAB3-11",Kerberos,1032,"2025-04-17T14:21:43.9777147Z",3,Kerberos,"LAB3-11$"
"Apr 17, 2025 @ 19:36:42.156",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:19:20.7722806Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.141",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:14:00.0774167Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.126",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:10:37.0746554Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.110",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:03:57.5595539Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.095",4624,"LAB3-11",Negotiate,1032,"2025-04-17T14:02:38.8903224Z",5,Advapi,SYSTEM
"Apr 17, 2025 @ 19:36:42.088",4624,"LAB3-18",Negotiate,928,"2025-04-16T15:37:48.1820181Z",5,Advapi,SYSTEM
